Season,HomeTeam,AwayTeam,FTG,FTR,HTG,HTR,S,ST,C,F,Y,Rn,R1,LSR,CSR,LHAP,LMP,LMHAP,Result
0,2001-02,Charlton,Everton,-1,-1,0.0,1,-6.0,4.0,1.0,-18.0,-6.0,0.0,0.0,7,0,4,0,3,0
1,2001-02,Derby,Blackburn,-5,-2,1.0,3,-17.0,-17.0,-6.0,5.0,-2.0,0.0,0.0,4,0,1,0,0,3
2,2001-02,Leeds,Southampton,5,0,4.0,0,9.0,10.0,11.0,4.0,3.0,0.0,0.0,6,0,11,0,3,3
3,2001-02,Leicester,Bolton,4,3,2.0,5,7.0,10.0,-7.0,10.0,7.0,0.0,0.0,8,0,3,0,0,0
4,2001-02,Liverpool,West Ham,5,4,1.0,4,5.0,3.0,-3.0,-7.0,-5.0,0.0,0.0,12,0,9,3,3,3
5,2001-02,Middlesbrough,Arsenal,-1,0,0.0,-4,28.0,9.0,-9.0,6.0,-2.0,0.0,0.0,-12,0,-3,0,-3,0
6,2001-02,Sunderland,Ipswich,2,3,2.0,3,-11.0,-1.0,-17.0,10.0,3.0,1.0,0.0,-2,0,-5,0,3,3
7,2001-02,Tottenham,Aston Villa,2,0,1.0,1,7.0,1.0,-3.0,1.0,-4.0,-1.0,0.0,-4,0,4,-3,0,1
8,2001-02,Chelsea,Newcastle,3,3,2.0,1,9.0,5.0,9.0,24.0,4.0,-1.0,0.0,5,0,6,3,3,1
9,2001-02,Man United,Fulham,-1,-4,0.0,-4,8.0,7.0,6.0,22.0,1.0,0.0,0.0,20,0,5,0,0,3
10,2001-02,Everton,Tottenham,0,0,1.0,0,13.0,11.0,4.0,12.0,4.0,0.0,0.0,-4,0,5,-3,0,1
11,2001-02,Arsenal,Leeds,-5,-5,-4.0,2,-28.0,-11.0,-12.0,-11.0,0.0,1.0,0.0,2,0,0,0,3,0
12,2001-02,Bolton,Middlesbrough,2,0,3.0,2,2.0,-1.0,1.0,-4.0,0.0,0.0,0.0,-7,0,0,0,0,3
13,2001-02,Ipswich,Derby,-1,-3,-3.0,-8,14.0,7.0,13.0,4.0,0.0,0.0,0.0,12,0,9,-3,-3,3
14,2001-02,Blackburn,Man United,-1,-3,-1.0,-3,-5.0,-5.0,3.0,8.0,0.0,0.0,0.0,-20,0,0,0,0,1
15,2001-02,Fulham,Sunderland,1,-3,1.0,0,0.0,3.0,2.0,9.0,-2.0,0.0,0.0,-14,0,0,0,0,3
16,2001-02,Arsenal,Leicester,6,3,2.0,6,20.0,13.0,13.0,-1.0,-3.0,0.0,0.0,11,0,9,3,3,3
17,2001-02,Blackburn,Tottenham,-1,-3,-3.0,-6,-5.0,-1.0,5.0,1.0,1.0,1.0,0.0,-9,0,0,0,0,3
18,2001-02,Everton,Middlesbrough,3,2,-1.0,-1,12.0,15.0,8.0,2.0,8.0,-1.0,0.0,-2,0,1,3,0,3
19,2001-02,Fulham,Derby,0,2,-1.0,1,5.0,1.0,1.0,15.0,-3.0,0.0,0.0,-4,0,3,0,0,1
20,2001-02,Ipswich,Charlton,2,1,1.0,0,20.0,8.0,16.0,14.0,-5.0,0.0,0.0,4,0,7,0,3,0
21,2001-02,Southampton,Chelsea,0,1,-1.0,-1,0.0,-2.0,-11.0,-4.0,-5.0,1.0,0.0,-4,0,-1,0,3,0
22,2001-02,West Ham,Leeds,-6,-6,-4.0,-3,-28.0,-6.0,-17.0,-5.0,2.0,0.0,0.0,-11,0,-6,0,-3,1
23,2001-02,Aston Villa,Man United,-2,1,-2.0,-1,-14.0,-11.0,-4.0,-7.0,6.0,1.0,0.0,-7,0,7,-6,-3,1
24,2001-02,Newcastle,Sunderland,-2,-2,-2.0,-3,-10.0,-11.0,1.0,-8.0,1.0,0.0,0.0,-4,0,3,-3,-3,1
25,2001-02,Bolton,Liverpool,5,3,5.0,5,8.0,-3.0,-7.0,8.0,-1.0,-2.0,0.0,-18,0,3,0,0,3
26,2001-02,Chelsea,Arsenal,-2,4,0.0,0,-7.0,-6.0,0.0,-2.0,-3.0,-1.0,0.0,-4,0,0,0,0,1
27,2001-02,Derby,West Ham,2,2,0.0,1,-6.0,-3.0,-3.0,-8.0,-3.0,1.0,0.0,-2,0,6,-3,0,1
28,2001-02,Leeds,Bolton,1,4,-1.0,1,0.0,-4.0,8.0,29.0,3.0,2.0,0.0,17,0,12,0,0,1
29,2001-02,Leicester,Ipswich,-3,-4,0.0,-2,-37.0,-22.0,-23.0,2.0,10.0,1.0,0.0,-8,0,-4,0,3,1
30,2001-02,Liverpool,Aston Villa,6,4,0.0,-2,16.0,20.0,10.0,-3.0,-3.0,-1.0,0.0,5,0,4,6,3,0
31,2001-02,Man United,Everton,1,-2,1.0,0,6.0,-5.0,4.0,-12.0,-5.0,0.0,0.0,15,0,4,6,3,3
32,2001-02,Middlesbrough,Newcastle,-6,-5,-2.0,-2,-11.0,-7.0,-10.0,-4.0,-5.0,1.0,0.0,-3,0,1,0,-3,0
33,2001-02,Sunderland,Blackburn,-1,-1,0.0,0,-9.0,-6.0,-4.0,12.0,-2.0,0.0,0.0,14,0,-2,0,0,3
34,2001-02,Charlton,Fulham,-4,-1,-3.0,-1,4.0,8.0,-10.0,12.0,4.0,0.0,0.0,12,0,1,0,0,1
35,2001-02,Tottenham,Southampton,2,2,1.0,2,-7.0,-5.0,0.0,-18.0,4.0,1.0,0.0,-2,0,6,-3,0,3
36,2001-02,Bolton,Southampton,-2,5,2.0,6,-5.0,-3.0,-13.0,8.0,-4.0,0.0,0.0,-11,0,4,0,0,0
37,2001-02,Derby,Leicester,-3,-2,-1.0,1,-9.0,-6.0,-6.0,-19.0,1.0,-1.0,0.0,-4,0,5,0,3,0
38,2001-02,Everton,Liverpool,-1,1,-1.0,0,-13.0,-6.0,-2.0,8.0,0.0,-1.0,0.0,-13,0,-4,-6,-3,0
39,2001-02,Fulham,Arsenal,-6,-2,-1.0,0,-9.0,-15.0,1.0,-17.0,0.0,-1.0,0.0,-19,0,3,0,0,0
40,2001-02,Middlesbrough,West Ham,1,-2,1.0,-1,-2.0,1.0,1.0,-7.0,-5.0,0.0,0.0,1,0,2,0,3,3
41,2001-02,Newcastle,Man United,0,0,0.0,-2,-10.0,-6.0,1.0,11.0,6.0,0.0,0.0,-10,0,5,-3,0,3
42,2001-02,Aston Villa,Sunderland,2,1,0.0,2,6.0,1.0,-4.0,-20.0,-1.0,0.0,0.0,-1,0,4,0,0,1
43,2001-02,Charlton,Leeds,-1,-3,0.0,0,-3.0,2.0,-10.0,-2.0,0.0,-2.0,0.0,-5,0,-5,-6,-3,0
44,2001-02,Ipswich,Blackburn,1,0,0.0,2,30.0,18.0,13.0,17.0,-3.0,1.0,0.0,16,0,3,0,0,1
45,2001-02,Tottenham,Chelsea,-2,-3,-2.0,-3,14.0,2.0,-4.0,-12.0,-3.0,0.0,0.0,-6,0,-2,-6,-3,0
46,2001-02,Leicester,Middlesbrough,3,4,0.0,0,2.0,4.0,3.0,15.0,7.0,1.0,0.0,1,0,-3,0,-3,0
47,2001-02,Blackburn,Bolton,1,0,0.0,-1,5.0,7.0,14.0,2.0,1.0,0.0,0.0,0,0,0,0,0,1
48,2001-02,Sunderland,Tottenham,-3,2,1.0,2,-20.0,-6.0,-4.0,16.0,6.0,0.0,0.0,5,0,6,-6,-3,0
49,2001-02,Arsenal,Bolton,4,1,4.0,5,15.0,9.0,3.0,24.0,4.0,1.0,0.0,19,0,6,0,0,1
50,2001-02,Blackburn,Everton,-3,-1,-2.0,-1,7.0,-3.0,15.0,18.0,-2.0,0.0,0.0,-5,0,2,0,0,3
51,2001-02,Leicester,Fulham,-1,-2,1.0,0,10.0,5.0,-4.0,31.0,1.0,1.0,0.0,8,-3,-3,0,0,1
52,2001-02,Liverpool,Tottenham,1,-1,1.0,-1,6.0,10.0,6.0,5.0,3.0,-1.0,0.0,9,-4,6,0,3,3
53,2001-02,Man United,Ipswich,6,2,1.0,-4,-9.0,-7.0,1.0,-19.0,-5.0,0.0,0.0,4,8,5,3,3,3
54,2001-02,Sunderland,Charlton,-2,0,-2.0,-4,-7.0,-7.0,-2.0,5.0,1.0,-2.0,0.0,2,8,2,6,3,1
55,2001-02,Chelsea,Middlesbrough,5,7,2.0,6,-1.0,2.0,2.0,-4.0,3.0,1.0,0.0,8,5,1,0,3,1
56,2001-02,Leeds,Derby,0,3,0.0,2,11.0,5.0,10.0,-11.0,-9.0,0.0,0.0,13,12,9,0,0,3
57,2001-02,West Ham,Newcastle,-9,-5,-4.0,-3,-13.0,-11.0,-11.0,8.0,1.0,1.0,0.0,-4,-11,4,0,3,3
58,2001-02,Southampton,Aston Villa,-3,-2,-2.0,-5,4.0,0.0,-4.0,5.0,0.0,0.0,0.0,-2,-7,0,3,3,0
59,2001-02,Newcastle,Leicester,3,2,1.0,0,-3.0,0.0,0.0,-17.0,-1.0,-1.0,0.0,2,9,6,3,3,3
60,2001-02,Bolton,Sunderland,-1,-2,-2.0,-1,-7.0,-3.0,-6.0,-11.0,-1.0,1.0,0.0,-14,8,6,0,0,0
61,2001-02,Charlton,Leicester,-2,-2,0.0,0,-5.0,-5.0,3.0,-20.0,1.0,0.0,0.0,4,3,1,0,3,3
62,2001-02,Derby,Arsenal,-3,-4,-1.0,-3,-18.0,-15.0,-14.0,6.0,2.0,0.0,0.0,-15,-14,-3,-3,-3,0
63,2001-02,Everton,West Ham,-1,-3,0.0,-3,-7.0,-2.0,-5.0,-7.0,-3.0,-1.0,0.0,-1,3,7,3,0,3
64,2001-02,Middlesbrough,Southampton,2,4,1.0,2,7.0,5.0,9.0,-1.0,0.0,-2.0,0.0,-4,6,2,0,-3,0
65,2001-02,Tottenham,Man United,-8,-3,-2.0,1,-6.0,-9.0,-5.0,-7.0,0.0,-1.0,0.0,-11,-7,6,0,3,0
66,2001-02,Aston Villa,Blackburn,2,6,0.0,2,1.0,-2.0,-7.0,4.0,-5.0,1.0,0.0,13,3,0,0,0,3
67,2001-02,Fulham,Chelsea,0,0,0.0,-2,-10.0,-8.0,-14.0,-2.0,-3.0,0.0,0.0,-15,-6,2,0,0,1
68,2001-02,Ipswich,Leeds,-3,-5,0.0,-1,-9.0,-5.0,-12.0,-4.0,4.0,1.0,0.0,-1,-14,0,0,-3,0
69,2001-02,Newcastle,Liverpool,-1,-3,0.0,-1,2.0,2.0,21.0,3.0,-1.0,0.0,0.0,-8,3,-1,0,3,0
70,2001-02,Bolton,Newcastle,1,-1,0.0,1,-5.0,-4.0,-10.0,-4.0,4.0,1.0,0.0,-10,3,0,0,0,0
71,2001-02,Charlton,Middlesbrough,-1,-2,-1.0,2,2.0,6.0,7.0,-8.0,2.0,1.0,0.0,5,3,-1,3,3,1
72,2001-02,Chelsea,Leicester,2,1,2.0,4,-11.0,-6.0,5.0,-14.0,7.0,2.0,0.0,7,11,3,-6,-3,3
73,2001-02,Ipswich,Everton,-4,-2,0.0,3,-4.0,-6.0,4.0,-15.0,2.0,0.0,0.0,11,-7,3,6,3,1
74,2001-02,Liverpool,Leeds,1,2,1.0,0,-17.0,-8.0,-21.0,-5.0,2.0,0.0,0.0,1,-6,0,-6,-3,1
75,2001-02,Southampton,Arsenal,0,1,-1.0,-3,-18.0,-15.0,-24.0,2.0,-7.0,1.0,0.0,-8,-15,-2,0,3,0
76,2001-02,Sunderland,Man United,-7,-5,-3.0,-5,6.0,3.0,5.0,3.0,1.0,0.0,0.0,-6,-5,5,-6,-3,0
77,2001-02,Aston Villa,Fulham,-1,0,1.0,1,-2.0,-5.0,-5.0,10.0,1.0,1.0,0.0,13,8,2,0,0,3
78,2001-02,Blackburn,West Ham,-3,-1,-2.0,-1,-4.0,-5.0,1.0,17.0,-1.0,0.0,0.0,-6,6,4,0,0,3
79,2001-02,Tottenham,Derby,4,3,3.0,7,7.0,1.0,6.0,-2.0,-1.0,0.0,0.0,5,5,3,0,3,3
80,2001-02,Arsenal,Blackburn,0,0,0.0,0,22.0,6.0,14.0,-15.0,0.0,1.0,0.0,19,6,3,0,0,1
81,2001-02,Derby,Charlton,-2,-5,0.0,-4,-9.0,-10.0,-15.0,4.0,4.0,-1.0,0.0,-8,-5,0,-3,0,1
82,2001-02,Everton,Aston Villa,-1,-2,1.0,2,16.0,16.0,7.0,5.0,-1.0,0.0,0.0,-8,-7,1,-6,-3,3
83,2001-02,Leicester,Liverpool,-7,-7,-5.0,-6,-8.0,-2.0,-5.0,14.0,-1.0,0.0,0.0,-10,-11,-7,0,3,0
84,2001-02,Man United,Bolton,10,8,3.0,5,6.0,8.0,4.0,13.0,-4.0,-1.0,0.0,20,7,7,0,0,0
85,2001-02,West Ham,Southampton,0,0,1.0,2,21.0,11.0,18.0,-13.0,2.0,-1.0,0.0,-5,-2,8,6,3,3
86,2001-02,Fulham,Ipswich,-5,-5,-2.0,-3,-17.0,-14.0,3.0,2.0,0.0,0.0,0.0,-16,1,-1,0,0,1
87,2001-02,Leeds,Chelsea,3,2,-1.0,-1,-6.0,1.0,1.0,8.0,-3.0,-1.0,0.0,2,7,2,3,3,1
88,2001-02,Newcastle,Tottenham,0,3,-2.0,-1,3.0,3.0,12.0,1.0,-1.0,0.0,0.0,1,4,6,0,3,0
89,2001-02,Middlesbrough,Sunderland,-2,-2,0.0,1,-31.0,-18.0,-4.0,-1.0,-1.0,0.0,0.0,-7,-3,0,-3,0,3
90,2001-02,Aston Villa,Charlton,3,1,-1.0,-2,-8.0,-15.0,-11.0,-5.0,1.0,-1.0,0.0,1,9,6,3,3,3
91,2001-02,Southampton,Ipswich,2,2,-1.0,-2,-5.0,-4.0,-14.0,15.0,3.0,2.0,0.0,-5,-2,4,-6,-3,1
92,2001-02,West Ham,Chelsea,0,-2,-2.0,-6,2.0,-1.0,1.0,-10.0,-4.0,0.0,0.0,-9,-10,-1,-6,-3,3
93,2001-02,Aston Villa,Bolton,3,5,1.0,2,1.0,-3.0,-5.0,3.0,-3.0,0.0,0.0,13,3,8,0,0,3
94,2001-02,Charlton,Liverpool,-6,-5,-5.0,-5,-4.0,-1.0,9.0,-4.0,-4.0,-1.0,0.0,-6,-10,-7,-6,-3,0
95,2001-02,Everton,Newcastle,4,4,1.0,4,7.0,9.0,0.0,-4.0,-4.0,0.0,0.0,-5,2,0,3,0,0
96,2001-02,Fulham,Southampton,-1,-2,0.0,0,-7.0,-9.0,-9.0,1.0,-2.0,1.0,0.0,-11,2,0,0,0,3
97,2001-02,Man United,Leeds,6,1,1.0,0,6.0,1.0,-3.0,-6.0,-2.0,0.0,0.0,3,-3,-1,3,3,1
98,2001-02,Sunderland,Arsenal,-3,-2,-2.0,-5,-9.0,-5.0,-5.0,-3.0,-2.0,0.0,0.0,-5,-8,-6,3,3,1
99,2001-02,Tottenham,Middlesbrough,5,2,5.0,4,17.0,6.0,8.0,-10.0,2.0,-1.0,0.0,2,5,2,0,0,3
100,2001-02,Derby,Chelsea,-1,-3,-1.0,-1,-26.0,-5.0,-12.0,4.0,5.0,0.0,0.0,-11,-10,-3,-6,-3,1
101,2001-02,Ipswich,West Ham,-3,-6,-2.0,-6,-19.0,-5.0,-2.0,-8.0,2.0,0.0,0.0,10,-2,4,3,0,0
102,2001-02,Blackburn,Leicester,10,3,4.0,5,11.0,11.0,2.0,17.0,2.0,0.0,0.0,-8,8,3,0,0,1
103,2001-02,Bolton,Everton,1,-1,1.0,-2,0.0,-4.0,-10.0,-6.0,0.0,0.0,0.0,-5,2,-1,0,0,1
104,2001-02,Leicester,Sunderland,-1,0,0.0,1,-14.0,-8.0,-5.0,-9.0,-2.0,0.0,0.0,-6,-7,-3,3,3,3
105,2001-02,Middlesbrough,Derby,0,2,1.0,0,-3.0,-5.0,0.0,5.0,-3.0,1.0,0.0,3,4,5,3,3,3
106,2001-02,Newcastle,Aston Villa,1,0,-1.0,0,-8.0,-1.0,5.0,7.0,3.0,0.0,0.0,-3,-5,0,3,3,3
107,2001-02,Southampton,Blackburn,-4,-5,1.0,0,-11.0,-9.0,0.0,-4.0,3.0,1.0,0.0,11,-8,-3,0,0,0
108,2001-02,West Ham,Fulham,5,5,1.0,0,15.0,3.0,3.0,2.0,-2.0,-1.0,0.0,6,2,9,0,0,0
109,2001-02,Arsenal,Charlton,5,4,2.0,6,24.0,13.0,-5.0,13.0,5.0,0.0,0.0,7,12,3,0,3,0
110,2001-02,Chelsea,Ipswich,-2,-1,0.0,0,25.0,8.0,8.0,4.0,3.0,0.0,0.0,-1,8,6,3,3,3
